,nsites,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,efermi,is_gap_direct,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,energy_above_hull,a,b,c,alpha,beta,gamma,crystal_Cubic,crystal_Hexagonal,crystal_Monoclinic,crystal_Orthorhombic,crystal_Tetragonal,crystal_Triclinic,crystal_Trigonal,mean_at_num,std_at_num,mean_grp_num,std_grp_num,mean_mend_num,std_mend_num,mean_row_num,std_row_num,mean_atomic_radius,std_atomic_radius,mean_ionic_radius,std_ionic_radius,mean_van_der_waal_radius,std_van_der_waal_radius,mean_atomic_radius_calculated,std_atomic_radius_calculated,mean_covalent_radius,std_covalent_radius,mean_electron_affinity,std_electron_affinity,mean_electronegativity,std_electronegativity,mean_first_ionization_energy,std_first_ionization_energy,mean_dipole_polarizability,std_dipole_polarizability,mean_atomic_mass,std_atomic_mass,mean_density,std_density,mean_molar_volume,std_molar_volume,mean_boiling_point,std_boiling_point,mean_melting_point,std_melting_point,mean_thermal_conductivity,std_thermal_conductivity,mean_specific_heat,std_specific_heat
4243,20,265.1425363558653,8.210465327551114,13.257126817793264,-7.3792483065,-2.936519431333332,0,2.5765,3.88873175,1,0,0,0.0,0.0,0.0,0.0717123543750002,5.52587,5.85997,8.188104,90.0,90.0,90.0,0,0,0,1,0,0,0,28.0,25.14756449439985,12.8,5.035871324805669,81.0,30.2258167797001,3.4,1.7435595774162693,1.02,0.5182663407939976,1.1522000000000001,0.13583578320899103,1.7579999999999998,0.3140955268704092,0.95,0.5787572893709418,99.4,45.222118481999495,1.02104838,0.5391530942203983,2.666,0.9637759075635789,10.53240414,3.7798665490874623,47.38,59.02702431937426,65.54906600000001,62.72111385099457,3.2227848000000003,3.9735222610937218,17.316,0.9438982996064773,1121.72,1279.859627302932,465.63,650.5987546867884,19.615948,31.799607040954704,0.6304000000000001,0.35289239153033614
4244,20,269.3724731094624,9.564684279486546,13.468623655473118,-21.701418782875,-3.932783648208337,0,4.5867,1.81919442,1,0,0,0.000163,6.051100846290379e-07,4.075e-05,0.0824088689999982,5.576018,5.849431,8.258771,90.0,90.0,90.0,0,0,0,1,0,0,0,32.4,29.910533261712335,10.8,6.368673331236264,69.2,38.958439393795025,3.6,1.9595917942265426,1.06,0.563382640840131,1.1644,0.1177668883854881,1.8200000000000003,0.3679130332021414,1.0719999999999998,0.7371132884435064,103.4,49.49585841259852,0.9920371800000002,0.5753433996236522,2.564,1.0729510706458147,10.460307199999999,3.872019388274207,61.779999999999994,69.43403776246922,77.578826,75.4863267638021,3.7287848000000006,4.577038883580449,17.72,0.5353129925566907,1387.72,1603.698732804887,764.6800000000001,871.5173673542026,6.415948,7.825345689433535,0.6146,0.37160387511434806
4249,20,263.68763077104825,6.747421477720456,13.184381538552412,-8.4773038505,-2.7540066655862057,0,1.0638,1.991602,1,1,3,16.0053175,0.0606980215689256,4.001329375,0.3116947421666669,5.976331,13.074903,3.374556,90.0,90.0,90.0,0,0,0,1,0,0,0,23.2,22.868318696397424,11.6,5.535341001239219,77.2,31.40955268704093,3.2,1.6,0.9899999999999999,0.4903060268852505,1.1582000000000001,0.12668448997410856,1.782,0.3304784410517575,0.9600000000000002,0.589542195266802,94.8,41.68644863741693,0.84026318,0.807331286987654,2.62,1.0093760448911,10.8619406,3.4049634710192476,47.980000000000004,59.2180175284516,53.57307479999999,57.684893547310736,3.2207848000000006,3.9714665173720602,15.633999999999997,4.176340982247498,1119.52,1277.762729774194,683.48,772.968507508553,4.7759480000000005,6.368574769847332,0.6796,0.30840142671524723
4250,30,382.6825028512317,6.973972823492783,12.756083428374389,-8.473091854,-2.749794669086205,0,0.4942000000000002,2.37731268,0,1,3,24.0069763,0.0627334046399627,4.001162716666667,0.3159067386666674,6.117400842631207,6.117400842631207,12.543845,90.0,90.0,125.39102333750114,0,0,0,1,0,0,0,23.2,22.868318696397424,11.6,5.535341001239219,77.2,31.40955268704093,3.2,1.6,0.9899999999999999,0.4903060268852505,1.1582000000000001,0.12668448997410856,1.782,0.3304784410517575,0.9600000000000002,0.589542195266802,94.8,41.68644863741693,0.84026318,0.807331286987654,2.62,1.0093760448911,10.8619406,3.4049634710192476,47.980000000000004,59.2180175284516,53.57307479999999,57.684893547310736,3.2207848000000006,3.9714665173720602,15.633999999999997,4.176340982247498,1119.52,1277.762729774194,683.48,772.968507508553,4.7759480000000005,6.368574769847332,0.6796,0.30840142671524723
4252,20,232.6493802962633,7.647609381155825,11.632469014813164,-8.760399524,-3.0371023390862057,0,0.4351000000000002,3.87111632,0,1,3,16.0015293,0.0687795913301945,4.000382325,0.0285990686666668,5.312082,5.85681,7.477837,90.0,90.0,90.0,0,0,0,1,0,0,0,23.2,22.868318696397424,11.6,5.535341001239219,77.2,31.40955268704093,3.2,1.6,0.9899999999999999,0.4903060268852505,1.1582000000000001,0.12668448997410856,1.782,0.3304784410517575,0.9600000000000002,0.589542195266802,94.8,41.68644863741693,0.84026318,0.807331286987654,2.62,1.0093760448911,10.8619406,3.4049634710192476,47.980000000000004,59.2180175284516,53.57307479999999,57.684893547310736,3.2207848000000006,3.9714665173720602,15.633999999999997,4.176340982247498,1119.52,1277.762729774194,683.48,772.968507508553,4.7759480000000005,6.368574769847332,0.6796,0.30840142671524723
4257,20,225.4575253306886,9.304718979809335,11.27287626653443,-7.948614021999998,-2.584858321499996,1,0.9605999999999996,4.46925832,1,0,0,2e-07,8.870850494196237e-10,5e-08,0.0,5.20253763,5.73954677,7.55043384,90.0,90.0,90.0,0,0,0,1,0,0,0,42.0,19.01578291840754,9.2,4.118252056394801,63.8,24.709512338368803,4.6,1.3564659966250536,1.28,0.37363083384538814,0.9432,0.18287963254556258,2.024,0.2636361128525453,1.484,0.5020597573994554,120.8,32.97514215283992,1.0455562600000001,0.3746303790549165,2.302,0.6993825848561,8.403251000000001,2.6661701002756746,71.86,48.19292894191014,97.929166,47.48894561554535,9.200261600000001,4.806161340793528,12.187999999999999,4.8061560523977995,2997.44,1501.8671227508778,1699.9599999999998,845.3337840167043,93.20531600000001,69.74216235993421,0.36239999999999994,0.2794377211473068
4260,20,248.61433611579344,6.889822697987972,12.430716805789674,-16.312195023999998,-3.879838454999998,0,4.476,2.54781696,1,0,0,0.0004216,1.6957992309970311e-06,0.0001054,0.0366798722500014,5.437512,5.733318,7.974802,90.0,90.0,90.0,0,0,0,1,0,0,0,27.6,20.333224043422135,5.6,5.2,36.2,32.43701589234127,4.0,1.2649110640673518,1.4300000000000002,0.4190465367951393,0.9912000000000001,0.14735589570831564,2.054,0.27324714088165675,1.55,0.5361343115302359,134.6,36.47245536017557,0.47274106000000005,0.49757609842886785,1.75,0.8464986709971847,7.864805000000001,2.8842173584249857,90.46000000000001,48.32397334656992,63.1594108,52.106673054814216,3.5542616000000002,2.8669295109817825,16.22,1.5566117049540642,2478.44,1194.8797321906504,1446.16,696.3696305842178,12.805316,6.389368,0.5574,0.23847314314194795
4261,20,424.8585469564187,4.785214720806305,21.24292734782093,-6.944439151,-2.2795936358750004,0,1.7663000000000002,3.93146354,0,0,0,,,,0.0129002495833336,6.369949,6.991898,9.53923,90.0,90.0,90.0,0,0,0,1,0,0,0,29.2,18.998947339260667,5.6,5.2,34.8,29.64051281607658,4.2,0.9797958971132712,1.5100000000000002,0.2615339366124404,0.8412000000000001,0.17627750849158264,2.11,0.16552945357246843,1.6300000000000001,0.37661651583540523,142.6,20.99142682144308,0.5959409024,0.7428508703641837,1.578,0.5035235843533051,7.213195999999999,1.5872454024705824,93.28,43.43631660258498,66.37161080000001,49.53181754244217,3.968000000000001,2.4421334934847443,15.854,1.45752667214017,2603.9739999999997,944.0138106532129,1512.872,563.109056521026,12.841,6.3180000000000005,0.5154,0.18339858232821754
4266,20,274.6226952689403,9.235915198087328,13.731134763447011,-21.077433992625,-3.900565236624996,0,4.5366,1.74977376,1,0,0,0.000381,1.3873580245321078e-06,9.525e-05,0.0960075911250015,5.606803,5.877711,8.333221,90.0,90.0,90.0,0,0,0,1,0,0,0,56.4,24.212393520674492,5.6,5.2,37.4,31.80943256331367,5.2,1.6,1.52,0.45999999999999996,1.1622,0.06990965598542166,2.1260000000000003,0.30322269044383865,1.778,0.6740445089161399,144.2,40.60738849027354,0.9773530600000001,0.36079332128831654,1.684,0.878034167900088,7.638497000000001,2.9904438689358477,118.66,56.870224195091765,137.546398,60.79347958796582,7.3528616,3.6813110753396323,18.68,0.6745665274826502,1950.44,976.7590359960843,1448.56,697.638971388497,13.405316,6.700570441344827,0.3126,0.3027061941883582
4268,20,222.6308365086166,7.8725208706218845,11.13154182543083,-9.0064348285,-3.2987594879999973,1,1.1970999999999998,4.27674109,0,1,3,8.0000001,0.0359339264293262,2.000000025,0.0,5.23261452,5.65391191,7.52519119,90.0,90.0,90.0,0,0,0,1,0,0,0,28.8,19.963967541548453,6.8,4.66476151587624,57.2,24.975187686982455,4.0,1.2649110640673518,1.28,0.37363083384538814,1.0182,0.12831586028235167,2.006,0.25881267356912796,1.472,0.49624187650781754,126.2,33.94348243772286,0.6764182599999999,0.39916060529890773,1.9119999999999997,0.7795485873247414,7.975623200000001,2.835142825610054,84.46000000000001,47.75695132648231,66.750766,50.92105107659331,5.360261599999999,2.8906047674731044,12.212,4.786641411261136,2824.6400000000003,1392.8696559262105,1667.56,824.9174833884903,21.805315999999998,12.342136583242953,0.51,0.239504488475686
4271,20,389.9041599687847,3.218138415931831,19.495207998439238,-5.5279650055,-0.5942779529999995,0,1.6497000000000002,0.5960134,0,0,0,2.39e-05,6.129711465995493e-08,5.975e-06,0.0809387324285673,4.342469,7.422848,12.096245,90.0,90.0,90.0,0,0,0,1,0,0,0,16.8,18.104143172213373,16.0,0.6324555320336759,100.0,1.5491933384829668,2.6,1.2000000000000002,0.7699999999999999,0.31559467676118996,1.034,0.37285922276376643,1.6179999999999999,0.18137254478007414,0.63,0.2618396455848503,78.6,27.375901811629877,1.474473656,0.9896286925365394,3.2039999999999997,0.31302396074422156,13.167911,1.403897138252657,11.239999999999998,10.860497226186286,37.781694,44.56806603484769,0.9876137999999999,1.972693101010129,18.268,4.00898191564891,161.072,148.24743079055366,122.85999999999999,132.03366767608935,0.110914,0.16904324956649408,0.8016,0.29757526778951243
4272,20,305.2507904627409,4.34973787356924,15.262539523137043,-4.089713605999999,-1.6577002109999994,1,3.637,-1.0899979,0,0,0,0.0,0.0,0.0,0.0,5.05358546,5.44579822,11.09163673,90.0,90.0,90.0,0,0,0,1,0,0,0,17.2,17.90418945386805,16.4,0.4898979485566356,100.4,1.7435595774162693,2.6,1.2000000000000002,0.74,0.33226495451672294,1.018,0.40439584567599113,1.6020000000000003,0.18998947339260666,0.602,0.27498363587675534,77.2,27.90268804255246,2.1687116208,0.8733646780771785,3.3920000000000003,0.42154003368600707,13.745649,2.210132400245289,10.508,11.21229039937871,38.7799746326,44.07755816557739,0.9876954,1.9726523022821432,17.8,4.623141788870421,162.606,147.41059983596838,120.95599999999999,132.94790988955035,0.11128800000000001,0.16885655716021217,0.7584,0.27462381542757724
4274,10,105.35335310154868,5.473290410538121,10.535335310154869,-11.863011802,-2.3016325714999994,1,2.6556,3.9195389,0,0,0,0.0,0.0,0.0,0.0,5.882060383972727,5.882060642712598,5.88206128879219,48.68871996966566,48.68872111806442,48.68872217031945,0,0,0,0,0,0,1,15.6,16.74037036627326,14.8,1.469693845669907,93.6,9.329523031752482,2.6,1.2000000000000002,0.8399999999999999,0.367967389859482,1.026,0.332,1.682,0.19843386807699936,0.774,0.42102731502837204,83.2,30.609802351534384,1.00939303,0.5542127602406729,2.8280000000000003,0.7540397867486835,10.98770794,3.3179713285880963,20.28,23.121972234219122,34.725,40.096895396027854,1.9307847999999996,2.838029436529396,14.445999999999998,5.0660422422242,1363.1200000000001,1665.7102057680984,588.63,892.0839420144273,21.815948,31.853804117548286,0.8026,0.2878552413974774
4275,5,72.65678089350268,8.497249279925953,14.531356178700538,-5.620489452,-1.3291986438333332,0,0.0451999999999994,5.87834009,0,0,0,4.4e-06,6.055869728730948e-08,4.4e-06,0.4960260630000013,4.172779,4.172779,4.172779,90.0,90.0,90.0,1,0,0,0,0,0,0,31.2,30.38025674677553,15.2,1.1661903789690602,93.8,9.173875952943773,3.4,1.7435595774162693,0.99,0.4779121258139409,1.1780000000000002,0.12400000000000003,1.7120000000000002,0.23928226010300047,0.8859999999999999,0.4989428825025967,96.4,41.00536550257783,1.1419208060000001,0.4289559452251382,2.8240000000000003,0.7582506181995502,10.78520734,3.5017548397426146,25.78,25.652399497902728,74.35908,77.43064098782601,3.4207848,4.260783071057168,17.830000000000002,1.847051704744618,890.5200000000001,993.264593952689,227.70999999999998,214.85172654647204,18.015948,32.14072248035405,0.6218,0.36446366073999753
4276,20,291.07493270155646,8.484176543805171,14.553746635077824,-6.0875724380000005,-1.796281629833333,0,2.7352000000000007,5.50920251,0,0,0,0.0003956,1.3591002025777831e-06,9.89e-05,0.0289430770000009,5.710462,6.054819,8.418455,90.0,90.0,90.0,0,0,0,1,0,0,0,31.2,30.38025674677553,15.2,1.1661903789690602,93.8,9.173875952943773,3.4,1.7435595774162693,0.99,0.4779121258139409,1.1780000000000002,0.12400000000000003,1.7120000000000002,0.23928226010300047,0.8859999999999999,0.4989428825025967,96.4,41.00536550257783,1.1419208060000001,0.4289559452251382,2.8240000000000003,0.7582506181995502,10.78520734,3.5017548397426146,25.78,25.652399497902728,74.35908,77.43064098782601,3.4207848,4.260783071057168,17.830000000000002,1.847051704744618,890.5200000000001,993.264593952689,227.70999999999998,214.85172654647204,18.015948,32.14072248035405,0.6218,0.36446366073999753
4277,20,283.9517915160877,8.697008401781114,14.197589575804386,-6.0765920465,-1.7853012383333329,0,2.4961,6.64943719,0,0,0,0.0004888,1.7214189683050696e-06,0.0001222,0.0399234685000013,5.678355,6.09561,8.203608,90.0,90.0,90.0,0,0,0,1,0,0,0,31.2,30.38025674677553,15.2,1.1661903789690602,93.8,9.173875952943773,3.4,1.7435595774162693,0.99,0.4779121258139409,1.1780000000000002,0.12400000000000003,1.7120000000000002,0.23928226010300047,0.8859999999999999,0.4989428825025967,96.4,41.00536550257783,1.1419208060000001,0.4289559452251382,2.8240000000000003,0.7582506181995502,10.78520734,3.5017548397426146,25.78,25.652399497902728,74.35908,77.43064098782601,3.4207848,4.260783071057168,17.830000000000002,1.847051704744618,890.5200000000001,993.264593952689,227.70999999999998,214.85172654647204,18.015948,32.14072248035405,0.6218,0.36446366073999753
4278,10,254.96692474459127,5.47063466457686,25.49669247445913,-4.546823570000001,-0.7438752548333326,0,1.4085,3.81042017,0,0,0,0.0,0.0,0.0,0.0033355422499976,3.90412981,6.593652709020838,9.90746649342325,88.60311320838697,90.0,90.0,0,0,1,0,0,0,0,36.0,26.75070092539633,15.2,1.1661903789690602,89.6,5.953150426454887,4.0,1.2649110640673518,1.23,0.2821347195933177,0.728,0.2767236889028476,1.8800000000000001,0.10751744044572482,1.1260000000000001,0.3040789371199525,120.4,21.4997674406027,1.5115203332,0.7148519329848967,2.308,0.341666504065002,8.83038034,1.9324591860210616,34.239999999999995,18.953585412791956,83.99568000000001,70.23267076631502,4.661999999999999,3.2699749234512483,16.732,2.29073263389685,1267.122,691.6090219596618,427.846,60.4415299607811,18.122999999999998,32.080867912199636,0.4957999999999999,0.2622505672062503
4279,5,146.7082456838383,6.346121737459678,29.34164913676766,-4.136142482,-0.718663020739583,0,0.8233999999999999,3.4148788,0,0,0,0.0004279,2.916673142708968e-06,0.0004279,0.0253778948333316,10.25690755187376,10.25690755187376,10.256907053880228,23.17547089484211,23.17547089484211,23.175472224424308,0,0,0,0,0,0,1,46.8,19.009471323527123,15.2,1.1661903789690602,89.0,5.513619500836089,4.6,0.8,1.3199999999999998,0.20880613017821106,0.8059999999999998,0.21592591322025245,1.94,0.06603029607687667,1.216,0.23148218073968457,128.2,15.210522673465235,1.4776204532,0.6880646401943757,2.29,0.3273530204534547,8.46580954,1.6455059404569428,39.94,14.550683832727588,112.14228,50.370194387490706,6.3054,1.9934541479552517,17.266000000000002,2.038093226523261,1411.2,577.8336784923496,491.23,36.41389295310238,18.312,31.97550462463415,0.2636,0.07857633231450804
