nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units
20,Cd-Co-O,217.36109870664112,6.702701044968174,10.868054935332056,-5.674122783,-1.0840791674999992,False,0.0,,,2.27117526,False,True,True,FM,12.0017419,0.05521568473574019,3.000435475
20,Cd-Co-O,236.9893852503211,6.1475599926029165,11.849469262516056,-5.727936619499999,-1.1378930039999986,False,0.13310000000000022,2.4495,2.3164,2.35419879,False,False,True,AFM,1.9e-06,8.01723671291487e-09,4.75e-07
10,Cd-Co-O,111.68017699771292,6.522672611211341,11.168017699771292,-5.714080059,-1.124036443499999,False,0.0,,,1.94217057,False,True,False,NM,0.0491322,0.00043993662367678885,0.0245661
20,Cd-Fe-O,227.15223465874132,6.323486941800345,11.357611732937066,-6.1633916635,-1.3060271499999991,False,0.0,,,2.05973834,False,True,True,FM,15.9991184,0.07043346249283451,3.9997796
20,Cd-Fe-O,225.92598167740076,6.357808778789962,11.296299083870037,-6.156007203,-1.2986426894999994,False,0.0,,,2.0263916,False,True,True,FiM,2.0922816,0.009260916272071642,0.5230704
20,Cd-Fe-O,224.18182162147863,6.407273253808278,11.209091081073932,-6.170801069,-1.3134365554999996,False,0.0,,,2.15476787,False,True,True,FM,15.9991066,0.07136665446056462,3.99977665
5,Cd-Ge-O,54.11695667257225,7.150943527391868,10.82339133451445,-11.723111221375003,-1.3513278523750032,False,0.10220000000000073,4.2971,4.1949,4.24670671,False,False,False,NM,0.0004671,8.631305762926194e-06,0.0004671
10,Cd-Ge-O,137.79220244027488,5.616969526379604,13.779220244027488,-11.312773615375004,-0.9409902463750044,False,0.07419999999999982,1.8596,1.7854,1.85947458,True,False,False,NM,0.0002756,2.000113178533865e-06,0.0001378
20,Cd-Ge-O,215.97939401466786,7.1671152297722465,10.798969700733393,-11.907460495875004,-1.5356771268750038,False,0.8481000000000001,4.5496,3.7015,3.7859196,True,False,False,NM,0.0014465,6.697398178188071e-06,0.000361625
20,Cd-Ge-O,261.90346298776586,5.91038081933195,13.095173149388293,-12.015706663500001,-1.6439232945,False,1.5369000000000002,2.809,1.2721,1.41061748,False,False,False,NM,0.0,0.0,0.0
10,Cd-Ge-O,154.93044510132876,4.995626273283812,15.493044510132876,-11.928832312375004,-1.557048943375004,False,1.5058,1.3823,-0.1235,-0.08589145,False,False,False,NM,0.0004816,3.108491682735568e-06,0.0002408
80,Cd-Ge-O,996.4899421647862,6.213606936349901,12.456124277059827,-12.008708750250005,-1.6369253812500049,False,1.301,2.8085,1.5075,1.5774209,False,False,False,NM,0.0100401,1.0075465466504129e-05,0.00062750625
10,Cd-Ge-O,118.83630558937064,6.512947354272025,11.883630558937064,-12.003437555375005,-1.6316541863750031,False,1.4099,3.7478,2.3379,2.3981762,False,False,False,NM,1.9e-06,1.59883799027319e-08,9.5e-07
5,Cd-Cl-H,142.10646763194086,2.568143881333393,28.421293526388173,-2.26190631,-0.2817489882500002,False,0.0,,,-2.28430211,False,True,True,FM,1.7276392,0.012157357992140278,1.7276392
20,Br-Cd-In,615.4076256288415,5.039741075713652,30.770381281442077,-2.8275302260000017,-1.1518764413333344,False,2.2208,3.3824,1.1616,1.20717492,False,False,False,NM,0.0,0.0,0.0
5,Cd-Ir-O,61.77813947332076,9.478265062669584,12.355627894664153,-5.760263306000001,-0.8292161984999993,False,0.0,,,4.42114743,False,True,True,FM,1.0671558,0.01727400354069998,1.0671558
30,Cd-Ir-O,388.28158042161505,9.048323853594393,12.942719347387168,-6.115731398666667,-1.184684291166666,False,0.0,,,3.64466633,False,True,True,FM,2.8208124,0.0072648627754554424,0.4701354
10,Cd-Cl-N,416.4900116707763,1.8561540172049704,41.64900116707763,-9.709328372749999,-0.17111736199999825,False,2.0259,-0.6899,-2.7158,-2.58040272,False,False,True,FM,3.9996529,0.009603238464123393,1.99982645
10,Cd-Cl-N,320.93714705180184,2.408788186067089,32.09371470518018,-9.57895180275,-0.04074079199999829,False,0.8155,0.8774,0.0619,0.13843251,False,False,False,NM,0.0005718,1.7816572660805353e-06,0.0002859
20,Cd-Cl-N,625.7172069528243,2.4709872117892444,31.285860347641215,-9.53736279925,0.000848211500002094,False,0.0,,,-0.81396606,False,True,True,FM,8.0043463,0.012792274546804152,2.001086575
20,Cd-F-N,330.1096797682404,3.690461932814561,16.50548398841202,-8.51181705825,-0.7908766604999997,False,0.0,,,-1.54834873,False,True,True,AFM,0.0,0.0,0.0
5,C-Cd-Ni,57.78832993499817,8.634877406888368,11.557665986999634,-5.478348936,0.027468208500000913,False,0.0,,,6.3006412,False,True,False,NM,0.0009654,1.6705795116174968e-05,0.0009654
5,Cd-N-Ni,55.8102159363317,9.000316018979303,11.16204318726634,-13.136453223999998,-0.10067525574999933,True,0.0,,,6.53208381,False,True,False,NM,1.1e-05,1.970965317989237e-07,1.1e-05
5,Cd-O-Os,61.29977114342224,9.498405606100683,12.259954228684448,-6.441248956,-1.0324151984999985,False,0.0,,,4.74971893,False,True,False,NM,0.0344059,0.0005612728947959853,0.0344059
10,Cd-P-S,230.0018155238127,3.459377513709595,23.00018155238127,-11.169029075000001,-0.5266168252827385,True,1.7561999999999998,3.5355,1.7793,1.91434382,False,False,False,NM,0.0,0.0,0.0
10,Cd-P-S,228.04409683199663,3.489075664701975,22.804409683199662,-11.168225917,-0.5258136672827376,False,1.7726999999999997,3.5098,1.7371,1.76008103,False,False,False,NM,0.0,0.0,0.0
10,Cd-P-Se,261.691952841095,4.825860987294309,26.1691952841095,-3.9540655450000015,-0.5814219153348226,True,1.0486,2.9642,1.9156,1.98874219,False,False,False,NM,0.0,0.0,0.0
40,Cd-O-Pb,577.0968158397645,8.462073206254711,14.427420395994114,-19.980950824,-1.1265361490000003,True,0.0,,,2.73175838,False,True,False,NM,0.0,0.0,0.0
5,Cd-O-Rh,61.70418835153962,7.086137227330518,12.340837670307923,-13.088729541000001,-0.664095961999999,False,0.0,,,3.02730288,False,True,True,FM,1.2863278,0.020846685360668943,1.2863278
5,Cd-O-Ru,60.61615746211363,7.1630476902911004,12.123231492422725,-13.574058898999999,-0.8917639869999988,False,0.0,,,4.21447545,False,True,True,FM,2.1207008,0.03498573464221123,2.1207008
30,Cd-O-S,451.7822968281786,4.244667362884329,15.05940989427262,-10.57836668866667,-1.3739790192291688,False,3.0449,4.152,1.1071,1.18327516,False,False,False,NM,0.0004948,1.095217770757808e-06,8.246666666666666e-05
40,Cd-O-S,624.5645595014557,4.093872104016965,15.614113987536394,-10.581197655,-1.3768099855624996,False,3.2188,4.0179,0.7991,0.80163178,True,False,False,NM,5.27e-05,8.437878710579825e-08,6.5875e-06
20,Cd-O-S,300.59403038203004,4.253057560808945,15.029701519101502,-10.581151398,-1.3767637285625,False,3.0731,4.2697,1.1966,1.09643196,False,False,False,NM,0.0035971,1.1966638177838678e-05,0.000899275
40,Cd-O-Se,632.4855475554016,5.027554029995879,15.812138688885039,-5.268916143250001,-1.4063735762187506,False,3.4047,3.5847,0.18,0.23522204,True,False,False,NM,0.0,0.0,0.0
